id,Label,sim.title.cal_merge_str_edit_distance,sim.year.cal_distinct
"134800,134800",1,1.0,1.0
"430462,40056",0,0.37681159420289856,1.0
"364016,364016",1,1.0,1.0
"565352,43654",1,1.0,1.0
"858978,397656",0,0.38888888888888884,0.0
"515787,535832",0,0.14814814814814814,1.0
"258453,733894",0,0.3589743589743589,1.0
"101061,327910",0,0.6363636363636364,0.0
"338786,378250",0,0.3902439024390244,1.0
"308610,757393",0,0.5769230769230769,0.0
"338539,338539",1,1.0,1.0
"584703,537700",0,0.4358974358974359,1.0
"728038,10890",0,0.5,0.0
"206036,680199",1,1.0,1.0
"393200,393200",1,1.0,1.0
"407245,407245",1,1.0,1.0
"806989,449507",0,0.5909090909090908,1.0
"911234,454268",0,0.6097560975609756,0.0
"84525,726297",0,0.6666666666666667,0.0
"446335,151053",0,0.5454545454545454,0.0
"982782,324671",0,0.5777777777777777,1.0
"544942,519645",0,0.33333333333333337,0.0
"978951,810304",0,0.5454545454545454,1.0
"636267,950433",0,0.3529411764705882,1.0
"223288,46956",0,0.6774193548387097,1.0
"588022,588022",1,1.0,1.0
"595666,404482",0,0.7333333333333334,1.0
"946729,935905",0,0.5,1.0
"284841,284841",1,1.0,1.0
"592287,36547",0,0.5,0.0
"112289,202630",0,0.3035714285714286,0.0
"735312,316432",0,0.8297872340425532,1.0
"442134,442134",1,1.0,1.0
"554734,59965",0,0.5357142857142857,1.0
"512075,166680",0,0.5483870967741935,1.0
"725310,725310",1,1.0,1.0
"483598,707665",0,0.825,1.0
"223381,16656",0,0.6842105263157895,1.0
"938227,265453",1,1.0,1.0
"19922,386083",0,0.5,0.0
"191031,191031",1,1.0,1.0
"356384,356384",1,1.0,1.0
"564071,564071",1,1.0,1.0
"224496,338501",0,0.64,1.0
"41581,41581",1,1.0,1.0
"377542,800420",0,0.8787878787878788,0.0
"444968,49506",0,0.4411764705882353,0.0
"495554,12494",1,1.0,1.0
"454299,95291",0,0.25,1.0
"149987,149987",1,1.0,1.0
"676750,676750",1,1.0,1.0
"979109,363841",0,0.5833333333333333,0.0
"570834,570834",1,1.0,1.0
"651362,418111",0,0.5869565217391304,0.0
"164128,605346",0,0.32258064516129037,1.0
"782216,550844",0,0.5909090909090908,1.0
"898467,143549",0,0.3414634146341463,1.0
"534970,672185",0,0.6,1.0
"665639,665639",1,1.0,1.0
"24261,646901",0,0.6086956521739131,1.0
"516569,17005",0,0.5714285714285714,1.0
"688608,498073",0,0.52,1.0
"915056,688881",0,0.5151515151515151,0.0
"950354,117619",0,0.26530612244897955,1.0
"244952,436547",0,0.8571428571428572,1.0
"938900,99568",0,0.47619047619047616,1.0
"723251,723251",1,1.0,1.0
"781003,115514",0,0.5,1.0
"307737,791491",0,0.4193548387096774,0.0
