id,Label,sim.title.cal_merge_str_edit_distance,sim.title.sim_lcs.<class 'list'>#3506,sim.venue.sim_equality.<function equality_paper at 0x000001F4700AE828>,sim.year.cal_distinct
"2131,1159",0,0.3214285714285714,0.5,0,0.0
"2062,964",0,0.36363636363636365,0.5,1,0.0
"22,902",0,0.5,0.3333333333333333,1,0.0
"1021,1667",0,0.3770491803278688,0.25,1,0.0
"2394,409",1,1.0,1.0,1,1.0
"446,882",0,0.26315789473684215,0.0,0,0.0
"2147,1929",0,0.19999999999999996,0.5714285714285714,1,1.0
"863,1785",0,0.5081967213114754,0.5,0,0.0
"2191,1150",0,0.5609756097560976,0.5,0,0.0
"1126,889",0,0.28205128205128205,0.3333333333333333,0,0.0
"1784,986",0,0.2763157894736842,0.4,0,0.0
"597,1415",0,0.3846153846153846,0.0,1,0.0
"2150,259",0,0.44680851063829785,0.5,1,0.0
"2259,704",0,0.4482758620689655,0.25,1,0.0
"1725,1309",0,0.2777777777777778,0.75,0,0.0
"2009,419",0,0.4285714285714286,0.6666666666666666,0,1.0
"1720,521",1,1.0,1.0,1,1.0
"889,1609",0,0.6818181818181819,0.3333333333333333,1,0.0
"818,1812",0,0.4444444444444444,0.3333333333333333,1,0.0
"1540,1976",0,0.36923076923076925,0.5,0,0.0
"925,1161",0,0.43137254901960786,0.5,0,0.0
"481,34",0,0.4545454545454546,0.0,1,0.0
"2136,1825",0,0.29824561403508776,0.75,1,0.0
"977,480",0,0.2872340425531915,0.4,1,0.0
"2296,1444",0,0.23913043478260865,0.6,0,0.0
"1278,2077",0,0.25,0.5,1,0.0
"103,313",0,0.2894736842105263,0.5,0,0.0
"2288,1393",1,1.0,1.0,1,1.0
"1919,1452",0,0.5416666666666667,0.6666666666666666,0,0.0
"1241,1531",0,0.3538461538461538,0.3333333333333333,1,1.0
"1649,494",0,0.6388888888888888,0.5,1,1.0
"885,1614",0,0.29166666666666663,1.0,1,0.0
"304,334",0,0.96875,1.0,1,0.0
"209,342",0,0.6428571428571428,1.0,0,0.0
"884,1358",1,1.0,1.0,1,1.0
"839,1225",0,1.0,1.0,1,0.0
"1788,1350",0,0.4347826086956522,0.3333333333333333,1,0.0
"1985,1663",0,0.49090909090909096,0.3333333333333333,1,0.0
"2255,918",1,1.0,1.0,1,1.0
"1798,1827",0,0.3392857142857143,0.0,0,0.0
"694,1077",1,1.0,1.0,1,1.0
"955,1957",1,1.0,1.0,1,1.0
"1756,723",0,0.3137254901960784,0.5,1,1.0
"1600,2050",0,0.1384615384615384,0.25,0,1.0
"1738,179",0,0.2564102564102564,0.5,0,0.0
"1933,1866",0,0.4,0.5,0,0.0
"2520,247",0,0.5471698113207547,0.6666666666666666,0,0.0
"225,1659",0,0.5,0.5,1,0.0
"1626,9",0,0.24242424242424243,0.3333333333333333,0,0.0
"1863,411",0,0.42307692307692313,0.3333333333333333,1,0.0
"863,2003",0,0.3466666666666667,0.5,0,0.0
"2562,1612",0,0.5192307692307692,0.5,0,0.0
"405,1889",0,0.5416666666666667,0.5,1,0.0
"569,130",1,1.0,1.0,1,1.0
"1021,1419",0,0.52,0.4,0,0.0
"301,1968",1,1.0,1.0,1,1.0
"1318,858",0,0.19999999999999996,0.5714285714285714,0,0.0
"2423,2171",1,1.0,1.0,1,1.0
"972,378",0,0.45999999999999996,0.5,1,0.0
